Datum,Aantal
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,1
3/7/2020,1
3/8/2020,3
3/9/2020,3
3/10/2020,4
3/11/2020,5
3/12/2020,5
3/13/2020,10
3/14/2020,12
3/15/2020,20
3/16/2020,24
3/17/2020,43
3/18/2020,58
3/19/2020,76
3/20/2020,106
3/21/2020,136
3/22/2020,179
3/23/2020,213
3/24/2020,276
3/25/2020,356
3/26/2020,434
3/27/2020,546
3/28/2020,639
3/29/2020,771
3/30/2020,864
3/31/2020,1039
4/1/2020,1173
4/2/2020,1339
4/3/2020,1487
4/4/2020,1651
4/5/2020,1766
4/6/2020,1867
4/7/2020,2101
4/8/2020,2248
4/9/2020,2396
4/10/2020,2511
4/11/2020,2643
4/12/2020,2737
4/13/2020,2823
4/14/2020,2945
4/15/2020,3134
4/16/2020,3315
4/17/2020,3459
4/18/2020,3601
4/19/2020,3684
4/20/2020,3751
4/21/2020,3916
4/22/2020,4054
4/23/2020,4177
4/24/2020,4289
4/25/2020,4409
4/26/2020,4475
4/27/2020,4518
4/28/2020,4566
4/29/2020,4711
4/30/2020,4795
5/1/2020,4893
5/2/2020,4987
5/3/2020,5056
5/4/2020,5082
5/5/2020,5168
5/6/2020,5204
5/7/2020,5288
5/8/2020,5359
5/9/2020,5422
5/10/2020,5440
5/11/2020,5456
5/12/2020,5510
5/13/2020,5562
5/14/2020,5590
5/15/2020,5643
5/16/2020,5670
5/17/2020,5680
5/18/2020,5694
5/19/2020,5715
5/20/2020,5748
5/21/2020,5775
5/22/2020,5788
5/23/2020,5811
5/24/2020,5822
5/25/2020,5830
