Datum,IC Admission
2/27/2020,6
2/28/2020,7
2/29/2020,8
3/1/2020,10
3/2/2020,9
3/3/2020,10
3/4/2020,13
3/5/2020,14
3/6/2020,17
3/7/2020,19
3/8/2020,25
3/9/2020,32
3/10/2020,39
3/11/2020,49
3/12/2020,70
3/13/2020,80
3/14/2020,97
3/15/2020,122
3/16/2020,152
3/17/2020,179
3/18/2020,229
3/19/2020,290
3/20/2020,366
3/21/2020,432
3/22/2020,482
3/23/2020,575
3/24/2020,657
3/25/2020,755
3/26/2020,839
3/27/2020,927
3/28/2020,995
3/29/2020,1044
3/30/2020,1133
3/31/2020,1192
4/1/2020,1209
4/2/2020,1253
4/3/2020,1282
4/4/2020,1286
4/5/2020,1305
4/6/2020,1315
4/7/2020,1324
4/8/2020,1293
4/9/2020,1291
4/10/2020,1303
4/11/2020,1264
4/12/2020,1246
4/13/2020,1231
4/14/2020,1207
4/15/2020,1182
4/16/2020,1148
4/17/2020,1120
4/18/2020,1072
4/19/2020,1047
4/20/2020,1029
4/21/2020,994
4/22/2020,933
4/23/2020,896
4/24/2020,879
4/25/2020,848
4/26/2020,832
4/27/2020,813
4/28/2020,783
